self_employed,sought_treatment,employer_benefits,employer_takes_seriously,fear_negative_consequences,work_interference,remote_work,gender,age,country,year,productivity_affected,has_mental_health_disorder,tech_role
No,No,Don't Know,Don't Know,No,,No,Male,25.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,Yes,Male,33.0,United States,2014,,,
No,No,Yes,Don't Know,No,Never,No,Male,29.0,United States,2014,,,
No,No,Yes,Don't Know,No,Rarely,No,Male,35.0,United States,2014,,,
No,Yes,Don't Know,No,No,Sometimes,Yes,Male,35.0,United States,2014,,,
No,Yes,No,Don't Know,Maybe,Rarely,No,Male,28.0,Brazil,2014,,,
No,No,Yes,Don't Know,Maybe,Never,Yes,Male,34.0,United States,2014,,,
No,Yes,Yes,Yes,Maybe,Sometimes,No,Male,32.0,United States,2014,,,
No,Yes,Yes,No,Yes,Sometimes,No,Male,22.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Male,28.0,United States,2014,,,
No,Yes,Yes,Yes,No,Rarely,Yes,Male,45.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Never,No,Male,32.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,28.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,Never,No,Male,26.0,United Kingdom,2014,,,
Yes,No,No,No,Yes,Often,Yes,Male,21.0,United Kingdom,2014,,,
No,No,Yes,Don't Know,Maybe,Rarely,No,Male,27.0,Canada,2014,,,
No,Yes,No,Don't Know,No,Rarely,Yes,Male,18.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,Yes,Male,35.0,United States,2014,,,
No,No,Yes,Don't Know,Yes,Never,No,Male,29.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,Yes,Male,25.0,United States,2014,,,
No,Yes,Don't Know,Yes,No,Sometimes,Yes,Male,33.0,United States,2014,,,
No,No,Yes,Don't Know,Maybe,Often,No,Male,36.0,United States,2014,,,
No,Yes,Yes,No,Maybe,Never,No,Male,27.0,Canada,2014,,,
No,No,Yes,Don't Know,Yes,Never,No,Male,27.0,United States,2014,,,
No,No,No,Don't Know,No,,No,Male,27.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Yes,Rarely,No,Male,32.0,United States,2014,,,
No,No,No,Yes,Maybe,Sometimes,No,Male,31.0,United Kingdom,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Sometimes,No,Male,19.0,Slovenia,2014,,,
No,Yes,Yes,No,Maybe,Sometimes,No,Male,33.0,United States,2014,,,
No,No,No,Don't Know,Maybe,Rarely,Yes,Male,32.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,Never,No,Male,27.0,United States,2014,,,
No,No,No,No,No,,Yes,Male,38.0,Costa Rica,2014,,,
No,Yes,Don't Know,Don't Know,No,Never,No,Male,24.0,Canada,2014,,,
No,No,No,Don't Know,Yes,Never,No,Male,39.0,United Kingdom,2014,,,
No,No,Don't Know,Yes,No,Never,No,Male,28.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,No,Often,No,Male,39.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Female,29.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,Yes,Male,22.0,Austria,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Sometimes,No,Male,38.0,United States,2014,,,
Yes,Yes,No,Yes,Yes,Sometimes,No,Male,37.0,United Kingdom,2014,,,
No,No,Don't Know,Don't Know,Yes,Never,Yes,Male,35.0,United States,2014,,,
No,No,Yes,Don't Know,No,,Yes,Male,,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,Yes,Female,30.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,No,Male,37.0,United States,2014,,,
No,No,No,Don't Know,Maybe,Never,No,Male,24.0,United Kingdom,2014,,,
No,No,No,No,Yes,Sometimes,No,Male,23.0,United States,2014,,,
No,Yes,No,No,Yes,Rarely,No,Male,30.0,Ireland,2014,,,
No,No,Don't Know,Don't Know,Maybe,,Yes,Female,29.0,United States,2014,,,
Yes,No,Don't Know,Don't Know,Maybe,,Yes,Male,19.0,Canada,2014,,,
No,No,Don't Know,No,No,Never,No,Male,32.0,United States,2014,,,
No,No,No,Yes,No,Rarely,Yes,Male,28.0,Poland,2014,,,
No,No,Don't Know,Don't Know,No,Never,No,Male,36.0,United States,2014,,,
No,Yes,Yes,No,Yes,Rarely,No,Male,37.0,United Kingdom,2014,,,
No,Yes,Don't Know,No,Maybe,Sometimes,No,Male,25.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,No,Sometimes,No,Male,27.0,United States,2014,,,
No,No,Don't Know,No,Yes,Often,No,Male,26.0,United States,2014,,,
No,Yes,No,Don't Know,Maybe,Rarely,Yes,Male,27.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Sometimes,No,Male,25.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Male,36.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Yes,Sometimes,No,Female,25.0,United States,2014,,,
No,No,Yes,Don't Know,No,Never,No,Male,31.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,Rarely,No,Male,26.0,United States,2014,,,
Yes,Yes,No,Yes,No,Sometimes,No,Female,33.0,United States,2014,,,
Yes,No,No,Yes,No,,Yes,Female,27.0,United Kingdom,2014,,,
No,No,No,Don't Know,Maybe,Never,No,Male,34.0,United States,2014,,,
No,No,No,No,Maybe,,No,Male,42.0,United States,2014,,,
Yes,No,No,No,Yes,Sometimes,No,Male,23.0,Ireland,2014,,,
No,No,Don't Know,Don't Know,Maybe,Rarely,No,Male,24.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,No,Sometimes,No,Male,26.0,United Kingdom,2014,,,
Yes,Yes,Don't Know,Don't Know,Maybe,Often,No,Male,31.0,United Kingdom,2014,,,
No,Yes,Don't Know,No,Yes,Never,No,Male,22.0,India,2014,,,
No,No,Don't Know,Yes,Maybe,,No,Female,23.0,United States,2014,,,
No,Yes,Yes,No,No,Sometimes,No,Female,34.0,Canada,2014,,,
No,No,Don't Know,Don't Know,Maybe,Never,No,Male,31.0,United States,2014,,,
No,No,No,Yes,No,,No,Male,28.0,United Kingdom,2014,,,
No,Yes,Yes,Yes,No,Often,Yes,Female,32.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,45.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,Yes,Male,33.0,United States,2014,,,
No,No,No,No,Maybe,Never,Yes,Male,29.0,Mexico,2014,,,
Yes,No,No,Don't Know,Maybe,Sometimes,No,Female,26.0,India,2014,,,
No,No,Don't Know,Don't Know,No,Never,No,Female,28.0,United Kingdom,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Sometimes,No,Male,45.0,United States,2014,,,
No,Yes,Yes,No,Yes,Often,Yes,Male,43.0,United States,2014,,,
No,No,Yes,No,Yes,,Yes,Male,37.0,United States,2014,,,
No,No,Don't Know,Yes,Maybe,Sometimes,No,Male,24.0,United Kingdom,2014,,,
No,No,No,Yes,No,,Yes,Male,26.0,France,2014,,,
No,No,Don't Know,Don't Know,No,,Yes,Male,23.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Never,No,Female,35.0,United States,2014,,,
Yes,Yes,No,Don't Know,Maybe,Often,Yes,Female,38.0,South Africa,2014,,,
No,Yes,Yes,No,Maybe,Sometimes,No,Male,28.0,United States,2014,,,
No,No,No,Don't Know,Yes,Sometimes,No,Male,28.0,Russia,2014,,,
No,Yes,No,Don't Know,No,Rarely,No,Male,35.0,United States,2014,,,
No,No,No,No,Yes,Sometimes,No,Female,32.0,Germany,2014,,,
Yes,No,No,Don't Know,Maybe,Never,No,Male,31.0,Italy,2014,,,
No,No,Don't Know,Don't Know,Maybe,Never,Yes,Female,35.0,United States,2014,,,
No,No,Yes,No,No,Rarely,No,Male,26.0,United States,2014,,,
No,No,Yes,Yes,Maybe,,Yes,Male,27.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Sometimes,No,Male,28.0,United Kingdom,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,27.0,United States,2014,,,
No,Yes,Yes,Yes,Maybe,Sometimes,No,Female,34.0,United States,2014,,,
No,Yes,No,Don't Know,Maybe,Often,Yes,Male,41.0,United States,2014,,,
No,No,No,Don't Know,Yes,Sometimes,No,Male,37.0,Ireland,2014,,,
No,No,Don't Know,Yes,No,,Yes,Male,34.0,Austria,2014,,,
No,Yes,Don't Know,No,Yes,Sometimes,Yes,Male,32.0,United Kingdom,2014,,,
No,Yes,No,Yes,No,Sometimes,Yes,Male,21.0,Canada,2014,,,
No,Yes,No,Don't Know,Maybe,Often,No,Male,30.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,Never,No,Male,24.0,United States,2014,,,
No,No,No,Don't Know,Yes,,No,Male,26.0,Bulgaria,2014,,,
No,No,Yes,Yes,No,,No,Female,40.0,United States,2014,,,
No,No,No,Don't Know,Yes,Sometimes,No,Male,37.0,United Kingdom,2014,,,
Yes,Yes,No,Don't Know,Yes,Often,Yes,Male,26.0,United Kingdom,2014,,,
No,Yes,Don't Know,No,Yes,Sometimes,No,Female,32.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,32.0,United States,2014,,,
Yes,Yes,No,Don't Know,No,Sometimes,Yes,Female,27.0,United States,2014,,,
Yes,Yes,Yes,Yes,No,Often,Yes,Male,30.0,Germany,2014,,,
Yes,No,Yes,Yes,No,,No,Male,31.0,Canada,2014,,,
No,Yes,Yes,Don't Know,Maybe,Never,No,Female,29.0,United States,2014,,,
No,No,Yes,Don't Know,Yes,,No,Other,41.0,United States,2014,,,
No,No,Yes,Yes,No,,No,Female,34.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,No,Male,33.0,United Kingdom,2014,,,
No,No,Don't Know,Don't Know,No,Rarely,No,Male,28.0,United States,2014,,,
No,Yes,No,No,Yes,Sometimes,No,Male,28.0,United States,2014,,,
No,No,Don't Know,Yes,No,Never,No,Male,23.0,United States,2014,,,
No,No,Don't Know,Yes,No,,No,Male,24.0,United States,2014,,,
No,No,No,Yes,No,Rarely,Yes,Male,32.0,United States,2014,,,
Yes,No,Don't Know,Yes,Yes,Sometimes,Yes,Male,34.0,Australia,2014,,,
No,No,Yes,Yes,Maybe,Never,No,Male,24.0,United States,2014,,,
Yes,Yes,No,Yes,Maybe,Sometimes,No,Male,26.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,No,Male,36.0,United States,2014,,,
No,Yes,Yes,No,Maybe,Rarely,Yes,Male,41.0,United States,2014,,,
No,Yes,Don't Know,No,Yes,Sometimes,No,Male,38.0,United Kingdom,2014,,,
No,No,Don't Know,No,Maybe,Sometimes,Yes,Male,38.0,United States,2014,,,
No,No,Don't Know,Yes,No,,No,Male,30.0,Netherlands,2014,,,
No,No,No,No,Yes,Never,No,Male,25.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Often,No,Male,37.0,Canada,2014,,,
No,No,No,No,No,,No,Male,34.0,United Kingdom,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,37.0,United States,2014,,,
No,Yes,Yes,No,No,Sometimes,No,Female,28.0,Canada,2014,,,
No,No,Don't Know,No,No,,No,Male,22.0,Sweden,2014,,,
No,Yes,No,No,Maybe,Sometimes,No,Male,34.0,United States,2014,,,
No,Yes,Yes,Don't Know,No,Sometimes,No,Male,33.0,United States,2014,,,
No,No,No,No,Maybe,,No,Male,25.0,South Africa,2014,,,
No,No,Yes,Yes,No,Never,Yes,Male,27.0,United States,2014,,,
No,Yes,Yes,No,Yes,Sometimes,Yes,Male,40.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Often,No,Male,21.0,United States,2014,,,
No,No,No,Yes,No,,No,Male,29.0,United Kingdom,2014,,,
No,Yes,No,Don't Know,Maybe,Sometimes,Yes,Male,32.0,United States,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,Yes,Female,29.0,United States,2014,,,
No,Yes,Don't Know,Yes,Maybe,Sometimes,Yes,Male,23.0,United States,2014,,,
